Action,Keyword status,Campaign,Ad group,Keyword,Match Type,Default max. CPC,Final URL,Label
Add,Enabled,Search - Sous-traitance DP,Sous-traitance DP,déclaration préalable photovoltaïque,Phrase match,1.50,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=broaden_dp,DP volume
Add,Enabled,Search - Sous-traitance DP,Sous-traitance DP,déclaration préalable photovoltaïque,Exact match,1.50,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=broaden_dp,DP volume
Add,Enabled,Search - Sous-traitance DP,Sous-traitance DP,déclaration préalable panneaux solaires,Phrase match,1.50,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=broaden_dp,DP volume
Add,Enabled,Search - Sous-traitance DP,Sous-traitance DP,déclaration préalable panneaux solaires,Exact match,1.50,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=broaden_dp,DP volume
Add,Enabled,Search - Sous-traitance DP,Sous-traitance DP,dp photovoltaïque,Phrase match,1.50,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=broaden_dp,DP volume
Add,Enabled,Search - Sous-traitance DP,Sous-traitance DP,dp panneaux solaires,Phrase match,1.50,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=broaden_dp,DP volume
Add,Enabled,Search - Sous-traitance DP,Sous-traitance DP,dossier déclaration préalable panneaux solaires,Phrase match,1.50,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=broaden_dp,DP volume
Add,Enabled,Search - Sous-traitance DP,Sous-traitance DP,déclaration préalable installation photovoltaïque,Phrase match,1.50,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=broaden_dp,DP volume
Add,Enabled,Search - Sous-traitance DP,Blocage mairie DP,déclaration mairie panneaux solaires,Phrase match,1.50,https://sunelys.fr/declaration-prealable-panneaux-solaires?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=broaden_mairie,Blocage mairie volume
Add,Enabled,Search - Sous-traitance DP,Blocage mairie DP,autorisation mairie panneaux solaires,Phrase match,1.50,https://sunelys.fr/declaration-prealable-panneaux-solaires?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=broaden_mairie,Blocage mairie volume
Add,Enabled,Search - Sous-traitance DP,Blocage mairie DP,demande préalable panneaux solaires,Phrase match,1.50,https://sunelys.fr/declaration-prealable-panneaux-solaires?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=broaden_mairie,Blocage mairie volume
Add,Enabled,Search - Pilotage admin PV,Pilotage complet,dossier photovoltaïque,Phrase match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=broaden_pilotage,Pilotage volume
Add,Enabled,Search - Pilotage admin PV,Pilotage complet,dossier installation photovoltaïque,Phrase match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=broaden_pilotage,Pilotage volume
Add,Enabled,Search - Pilotage admin PV,Pilotage complet,administratif photovoltaïque,Phrase match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=broaden_pilotage,Pilotage volume
Add,Enabled,Search - Pilotage admin PV,Pilotage complet,suivi dossier photovoltaïque,Phrase match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=broaden_pilotage,Pilotage volume
Add,Enabled,Search - Pilotage admin PV,Pilotage complet,gestion photovoltaïque,Phrase match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=broaden_pilotage,Pilotage volume
Add,Enabled,Search - Pilotage admin PV,Externalisation administrative,sous traitance photovoltaïque,Phrase match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=broaden_externalisation,Externalisation volume
Add,Enabled,Search - Pilotage admin PV,Externalisation administrative,prestataire photovoltaïque,Phrase match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=broaden_externalisation,Externalisation volume
