Action,Campaign,Keyword,Criterion Type,Match Type
Add,Search - Pilotage admin PV,branchement,Campaign negative,Broad match
Add,Search - Pilotage admin PV,comment remplir,Campaign negative,Broad match
Add,Search - Pilotage admin PV,pdf,Campaign negative,Broad match
Add,Search - Pilotage admin PV,cerfa,Campaign negative,Broad match
Add,Search - Pilotage admin PV,plug and play,Campaign negative,Broad match
Add,Search - Pilotage admin PV,inf à 3kw,Campaign negative,Broad match
Add,Search - Pilotage admin PV,moins de 3kw,Campaign negative,Broad match
Add,Search - Pilotage admin PV,quelle autorisation,Campaign negative,Broad match
Add,Search - Pilotage admin PV,soi meme,Campaign negative,Broad match
Add,Search - Pilotage admin PV,soi-même,Campaign negative,Broad match
Add,Search - Sous-traitance DP,branchement,Campaign negative,Broad match
Add,Search - Sous-traitance DP,comment remplir,Campaign negative,Broad match
Add,Search - Sous-traitance DP,pdf,Campaign negative,Broad match
Add,Search - Sous-traitance DP,cerfa,Campaign negative,Broad match
Add,Search - Sous-traitance DP,plug and play,Campaign negative,Broad match
Add,Search - Sous-traitance DP,inf à 3kw,Campaign negative,Broad match
Add,Search - Sous-traitance DP,moins de 3kw,Campaign negative,Broad match
Add,Search - Sous-traitance DP,quelle autorisation,Campaign negative,Broad match
Add,Search - Sous-traitance DP,soi meme,Campaign negative,Broad match
Add,Search - Sous-traitance DP,soi-même,Campaign negative,Broad match
Add,Search - Consuel Raccordement,branchement,Campaign negative,Broad match
Add,Search - Consuel Raccordement,comment remplir,Campaign negative,Broad match
Add,Search - Consuel Raccordement,pdf,Campaign negative,Broad match
Add,Search - Consuel Raccordement,cerfa,Campaign negative,Broad match
Add,Search - Consuel Raccordement,plug and play,Campaign negative,Broad match
Add,Search - Consuel Raccordement,inf à 3kw,Campaign negative,Broad match
Add,Search - Consuel Raccordement,moins de 3kw,Campaign negative,Broad match
Add,Search - Consuel Raccordement,quelle autorisation,Campaign negative,Broad match
Add,Search - Consuel Raccordement,soi meme,Campaign negative,Broad match
Add,Search - Consuel Raccordement,soi-même,Campaign negative,Broad match
