Action,Keyword status,Campaign,Ad group,Keyword,Match Type,Default max. CPC,Final URL,Label
Add,Enabled,Search - Consuel Raccordement,Consuel PV,consuel panneaux photovoltaïques,Phrase match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=keyword_planner_consuel,Keyword Planner Consuel 2026-07-14
Add,Enabled,Search - Consuel Raccordement,Consuel PV,consuel panneaux photovoltaïques,Exact match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=keyword_planner_consuel,Keyword Planner Consuel 2026-07-14
Add,Enabled,Search - Consuel Raccordement,Consuel PV,consuel installation photovoltaïque,Phrase match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=keyword_planner_consuel,Keyword Planner Consuel 2026-07-14
Add,Enabled,Search - Consuel Raccordement,Consuel PV,consuel installation photovoltaïque,Exact match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=keyword_planner_consuel,Keyword Planner Consuel 2026-07-14
Add,Enabled,Search - Consuel Raccordement,Consuel PV,consuel photovoltaïque autoconsommation,Exact match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=keyword_planner_consuel,Keyword Planner Consuel 2026-07-14
Add,Enabled,Search - Consuel Raccordement,Consuel PV,dossier consuel photovoltaïque,Phrase match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=keyword_planner_consuel,Keyword Planner Consuel 2026-07-14
Add,Enabled,Search - Consuel Raccordement,Consuel PV,dossier consuel photovoltaïque,Exact match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=keyword_planner_consuel,Keyword Planner Consuel 2026-07-14
Add,Enabled,Search - Consuel Raccordement,Consuel PV,consuel pour installation photovoltaïque,Phrase match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=keyword_planner_consuel,Keyword Planner Consuel 2026-07-14
Add,Enabled,Search - Consuel Raccordement,Consuel PV,consuel pour installation photovoltaïque,Exact match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=keyword_planner_consuel,Keyword Planner Consuel 2026-07-14
Add,Enabled,Search - Consuel Raccordement,Consuel PV,attestation consuel photovoltaïque,Exact match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=keyword_planner_consuel,Keyword Planner Consuel 2026-07-14
Add,Enabled,Search - Consuel Raccordement,Consuel PV,attestation de conformité photovoltaïque,Phrase match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=keyword_planner_consuel,Keyword Planner Consuel 2026-07-14
Add,Enabled,Search - Consuel Raccordement,Consuel PV,attestation de conformité photovoltaïque,Exact match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=keyword_planner_consuel,Keyword Planner Consuel 2026-07-14
Add,Enabled,Search - Consuel Raccordement,Consuel PV,consuel dossier technique installation photovoltaïque,Exact match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=keyword_planner_consuel,Keyword Planner Consuel 2026-07-14
Add,Enabled,Search - Consuel Raccordement,Raccordement Enedis,enedis photovoltaïque,Exact match,1.50,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=keyword_planner_raccordement,Keyword Planner Raccordement 2026-07-14
Add,Enabled,Search - Consuel Raccordement,Raccordement Enedis,raccordement photovoltaïque enedis,Exact match,1.50,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=keyword_planner_raccordement,Keyword Planner Raccordement 2026-07-14
Add,Enabled,Search - Consuel Raccordement,Raccordement Enedis,demande raccordement enedis photovoltaïque,Exact match,1.50,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=keyword_planner_raccordement,Keyword Planner Raccordement 2026-07-14
Add,Enabled,Search - Consuel Raccordement,Raccordement Enedis,dossier raccordement photovoltaïque,Exact match,1.50,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=keyword_planner_raccordement,Keyword Planner Raccordement 2026-07-14
Add,Enabled,Search - Consuel Raccordement,Raccordement Enedis,enedis raccordement panneaux photovoltaïques,Exact match,1.50,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=keyword_planner_raccordement,Keyword Planner Raccordement 2026-07-14
Add,Enabled,Search - Sous-traitance DP,Sous-traitance DP,dp panneau photovoltaïque,Exact match,1.50,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=keyword_planner_dp,Keyword Planner DP 2026-07-14
Add,Enabled,Search - Sous-traitance DP,Sous-traitance DP,dp panneaux photovoltaïques,Exact match,1.50,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=keyword_planner_dp,Keyword Planner DP 2026-07-14
Add,Enabled,Search - Sous-traitance DP,Sous-traitance DP,dp pour panneaux photovoltaïques,Exact match,1.50,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=keyword_planner_dp,Keyword Planner DP 2026-07-14
