Row Type,Action,Keyword status,Level,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Negative keyword,Type
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,comment brancher,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,comment raccorder,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,branchement panneau solaire,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,brancher panneau solaire,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,panneau solaire en parallele,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,panneaux solaires en parallele,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,panneaux solaires en parallèle,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,exemple dossier,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,exemple declaration prealable,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,modele dp,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,modèle dp,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,cerfa 13703,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,telecharger,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,télécharger,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,notice pdf,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,schema raccordement,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,schéma raccordement,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,kit autoconsommation,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,micro onduleur,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,cable solaire,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,câble solaire,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,disjoncteur,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,comment brancher,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,comment raccorder,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,branchement panneau solaire,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,brancher panneau solaire,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,panneau solaire en parallele,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,panneaux solaires en parallele,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,panneaux solaires en parallèle,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,exemple dossier,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,exemple declaration prealable,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,modele dp,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,modèle dp,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,cerfa 13703,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,telecharger,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,télécharger,Broad match
