Action,Keyword status,Campaign,Ad group,Keyword,Match Type,Default max. CPC,Final URL,Label
Add,Enabled,Search - Delegation admin PV installateurs,Sous-traitance DP,declaration prealable photovoltaique,Phrase match,2.20,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Sous-traitance DP,declaration prealable photovoltaique,Exact match,2.20,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Sous-traitance DP,declaration prealable panneaux solaires,Phrase match,2.20,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Sous-traitance DP,declaration panneau photovoltaique,Phrase match,2.00,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Sous-traitance DP,dossier declaration prealable photovoltaique,Phrase match,2.20,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Sous-traitance DP,dp panneau solaire,Phrase match,1.80,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Sous-traitance DP,dp photovoltaique,Phrase match,1.80,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Sous-traitance DP,declaration mairie panneaux solaires,Phrase match,2.00,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Sous-traitance DP,demande installation panneau solaire mairie,Phrase match,1.80,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Consuel Raccordement,raccordement panneaux solaires,Phrase match,2.20,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Consuel Raccordement,raccordement panneau solaire,Phrase match,2.00,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Consuel Raccordement,raccordement panneau photovoltaique,Phrase match,2.20,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Consuel Raccordement,raccordement enedis photovoltaique,Phrase match,2.50,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Consuel Raccordement,raccordement enedis photovoltaique,Exact match,2.50,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Consuel Raccordement,consuel photovoltaique,Phrase match,2.20,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Consuel Raccordement,consuel photovoltaique,Exact match,2.20,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Consuel Raccordement,dossier consuel photovoltaique,Phrase match,2.20,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Consuel Raccordement,attestation consuel photovoltaique,Phrase match,2.00,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Pilotage complet,demarche administrative panneaux photovoltaiques,Phrase match,1.80,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Pilotage complet,dossier photovoltaique administratif,Phrase match,1.80,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Pilotage complet,gestion administrative photovoltaique,Phrase match,2.20,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Pilotage complet,gestion administrative photovoltaique,Exact match,2.20,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
Add,Enabled,Search - Delegation admin PV installateurs,Pilotage complet,suivi dossier photovoltaique,Phrase match,1.80,https://sunelys.fr/lp/delegation-admin-pv,Volume probable controle 2026-07-20
