Row Type,Action,Keyword status,Level,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Negative keyword,Type
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,cacsi,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,déclaration enedis installation solaire inf à 3kw,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,declaration enedis installation solaire inf a 3kw,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,inf à 3kw,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,inf a 3kw,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,moins de 3kw,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,cacsi,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,déclaration enedis installation solaire inf à 3kw,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,declaration enedis installation solaire inf a 3kw,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,inf à 3kw,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,inf a 3kw,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,moins de 3kw,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,cacsi,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,déclaration enedis installation solaire inf à 3kw,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,declaration enedis installation solaire inf a 3kw,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,inf à 3kw,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,inf a 3kw,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Pilotage complet,,moins de 3kw,Broad match
