Row Type,Action,Keyword status,Level,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Negative keyword,Type
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,comment,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,comment déclarer,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,comment faire,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,sans autorisation,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,schéma,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,schema,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,schéma électrique,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,schema electrique,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,branchement,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,brancher,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,câblage,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,cablage,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,en parallèle,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,en parallele,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,exemple,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,pdf,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,cerfa,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,gratuit,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,modèle,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,modele,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,formulaire,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,impôt,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,impot,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,revenus,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,particulier,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,soi même,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,soi meme,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,plug and play,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,kit solaire,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,au sol,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,maison,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,prix installation,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,entretien,Broad match
