Row Type,Action,Keyword status,Level,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Negative keyword,Type
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,comment,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,comment déclarer,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,comment faire,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,sans autorisation,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,schéma,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,schema,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,schéma électrique,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,schema electrique,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,branchement,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,brancher,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,câblage,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,cablage,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,en parallèle,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,en parallele,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,exemple,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,pdf,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,cerfa,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,gratuit,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,modèle,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,modele,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,formulaire,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,impôt,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,impot,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,revenus,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,particulier,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,soi même,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,soi meme,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,plug and play,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,kit solaire,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,au sol,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,maison,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,prix installation,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Sous-traitance DP,,entretien,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,comment,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,comment déclarer,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,comment faire,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,sans autorisation,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,schéma,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,schema,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,schéma électrique,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,schema electrique,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,branchement,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,brancher,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,câblage,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,cablage,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,en parallèle,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,en parallele,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,exemple,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,pdf,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,cerfa,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,gratuit,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,modèle,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,modele,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,formulaire,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,impôt,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,impot,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,revenus,Broad match
Negative keyword,Add,Enabled,Ad group,,Search - Delegation admin PV installateurs,,Consuel Raccordement,,particulier,Broad match
